Experiment start
robot 1 0.30194305331710075
robot 1 0.30245204152594024
robot 1 0.3025242984643089
robot 1 0.30307221636678666
robot 1 0.3031905122016694
robot 1 0.3033331402619069
robot 1 0.3039706707322134
robot 1 0.3045746173565518
robot 1 0.30568436476098776
robot 1 0.305344205199638
robot 1 0.3055585212154581
robot 1 0.30718276292524543
robot 1 0.30828938528902894
robot 1 0.3085994475074052
robot 1 0.3096718089167147
robot 1 0.3104210291879456
robot 1 0.31168498342614176
robot 1 0.3119577315876733
robot 1 0.3131800572761283
robot 1 0.3142080862302731
robot 1 0.3145636310468412
robot 1 0.3152594944428013
robot 1 0.3175425092123647
robot 1 0.3182622847999175
robot 1 0.3196142122978425
robot 1 0.3208186475526273
robot 1 0.3220961345477463
robot 1 0.322949059121157
robot 1 0.3242532832748503
robot 1 0.32557590499401834
robot 1 0.32671633752278595
robot 1 0.32777079360770206
robot 1 0.3290086128230797
robot 1 0.33036432465580334
robot 1 0.33200187049692903
robot 1 0.33300963769062386
robot 1 0.3347438133306601
robot 1 0.3364712245190847
robot 1 0.33741276404057047
robot 1 0.33892458946622245
robot 1 0.340918770576739
robot 1 0.34315019081837367
robot 1 0.34352061449135635
robot 1 0.34529341692044163
robot 1 0.3471864730581846
robot 1 0.34922255714132744
robot 1 0.3511227852188679
robot 1 0.3516669506755396
robot 1 0.35358110061490267
robot 1 0.35565440366888657
robot 1 0.35714990506931815
robot 1 0.35909127873987323
robot 1 0.3598352800954206
robot 1 0.36179530586739056
robot 1 0.3629773916324451
robot 1 0.3643408573995482
robot 1 0.3660031059194068
robot 1 0.3676871027283721
robot 1 0.3698225329304194
robot 1 0.3713641084526006
robot 1 0.37275286226000226
robot 1 0.37355140283990956
robot 1 0.3751088683192191
robot 1 0.3766644989655544
robot 1 0.3780698641698154
robot 1 0.3793538481613995
robot 1 0.38047711584504945
robot 1 0.3817889018104586
robot 1 0.38265142088672094
robot 1 0.383626147458778
robot 1 0.38477122272918274
robot 1 0.38520931944280207
robot 1 0.3867463076871173
robot 1 0.3871084508673607
robot 1 0.3866674636719581
robot 1 0.38802936164496404
robot 1 0.38832988651408695
robot 1 0.38883704403318187
robot 1 0.3892054463089745
robot 1 0.3901706911378787
robot 1 0.3902448733413491
robot 1 0.38996814714768
robot 1 0.3898841777808815
robot 1 0.39045868820283386
robot 1 0.39040898892807085
robot 1 0.3897057070602443
robot 1 0.38966333197080627
robot 1 0.38963038282196594
robot 1 0.38853179967540413
robot 1 0.38874042812565024
robot 1 0.3876433356677436
robot 1 0.3876496375606277
robot 1 0.386590513367063
robot 1 0.38555325593079837
robot 1 0.3842961030160157
robot 1 0.38304496122360104
robot 1 0.38179188216808435
robot 1 0.380790151011047
robot 1 0.37974989954018024
robot 1 0.3780584215600791
robot 1 0.37660229133484385
robot 1 0.37498457099201543
robot 1 0.37371686220466693
robot 1 0.3718698527769207
robot 1 0.3721048689995787
robot 1 0.36984219904133264
robot 1 0.36693050686807865
robot 1 0.3646126671245098
robot 1 0.3629459103128197
robot 1 0.3606315009304078
robot 1 0.3591399316179933
robot 1 0.35764432005128527
robot 1 0.3554975821454825
robot 1 0.35303122189187575
robot 1 0.3506283233761498
robot 1 0.34930248993082813
robot 1 0.346579576514444
robot 1 0.34508923340830827
robot 1 0.3430948870599554
robot 1 0.34110530636855196
robot 1 0.33895446064883433
robot 1 0.33605432848001804
robot 1 0.33522379641755634
robot 1 0.33380842708071823
robot 1 0.33248274195521693
robot 1 0.3302507364580586
robot 1 0.3289250549533602
robot 1 0.3271147111392439
robot 1 0.3254550664836149
robot 1 0.3237179526633144
robot 1 0.3223248029212214
robot 1 0.32028128670654404
robot 1 0.31848433494549894
robot 1 0.317122970403468
robot 1 0.3159911916694546
robot 1 0.31461763195475534
robot 1 0.31393073128574905
robot 1 0.31344697196263455
robot 1 0.31294785440038103
robot 1 0.3111316510150432
robot 1 0.3100345754498366
robot 1 0.30916122018301406
robot 1 0.3080486901923939
robot 1 0.3078267403453661
robot 1 0.3076142525351023
robot 1 0.30720293368558055
robot 1 0.3070109588345396
robot 1 0.3062022564765294
robot 1 0.30688354784011607
robot 1 0.30695766015790427
robot 1 0.30724144915025386
robot 1 0.30709858965978937
robot 1 0.30759318232477634
robot 1 0.3083522379406339
robot 1 0.30910552741183567
robot 1 0.3100643988921631
robot 1 0.3104865582121101
robot 1 0.31146910660436905
robot 1 0.3112174625655898
robot 1 0.3128395104039342
robot 1 0.31455790738941314
robot 1 0.3154011226702999
robot 1 0.31597565672824174
