0,41
1,43
2,12
3,7
4,47
5,42
6,21
7,31
8,23
9,20
10,26
11,4
12,11
13,27
14,25
15,19
16,34
17,22
18,36
19,14
20,5
21,17
22,49
23,46
24,15
